ranker,player,team,fantasy_pos,age,g,gs,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fantasy_points,fantasy_points_ppr,draftkings_points,fanduel_points,vbd,fantasy_rank_pos,fantasy_rank_overall,player_id
1,Christian McCaffrey*+,SFO,RB,27,16,16,0,0,0,0,0,272,1459,5.36,14,83,67,564,8.42,7,3,2,21,,,324,391.3,399.3,357.8,157,1,1,McCaCh01
2,CeeDee Lamb*+,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1,,268,403.2,411.2,335.7,131,1,2,LambCe00
3,Josh Allen,BUF,QB,27,17,17,385,579,4306,29,18,111,524,4.72,15,0,0,0,,0,7,4,15,,3,393,392.6,420.6,410.6,122,1,3,AlleJo02
4,Tyreek Hill*+,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.50,0,171,119,1799,15.12,13,1,1,13,,,257,376.4,380.4,316.9,120,2,4,HillTy00
5,Jalen Hurts*,PHI,QB,25,17,17,352,538,3858,23,15,157,605,3.85,15,0,0,0,,0,9,5,15,,,357,356.8,382.8,371.8,89,2,5,HurtJa00
6,Raheem Mostert*,MIA,RB,31,15,15,0,0,0,0,0,209,1012,4.84,18,32,25,175,7.00,3,4,1,21,,,243,267.7,274.7,255.2,80,2,6,MostRa00
7,Amon-Ra St. Brown*+,DET,WR,24,16,16,0,0,0,0,0,4,24,6.00,0,164,119,1515,12.73,10,1,1,10,,,212,330.9,334.9,271.4,78,3,7,StxxAm00
8,Dak Prescott*,DAL,QB,30,17,17,410,590,4516,36,9,55,242,4.40,2,0,0,0,,0,4,2,2,,2,343,342.8,359.8,351.8,76,3,8,PresDa01
9,Mike Evans*,TAM,WR,30,17,17,0,0,0,0,0,0,0,,0,136,79,1255,15.89,13,0,0,13,,,204,282.5,285.5,243.0,70,4,9,EvanMi00
10,Lamar Jackson*+,BAL,QB,26,16,16,307,457,3678,24,7,148,821,5.55,5,0,0,0,,0,11,6,5,,1,331,331.2,350.2,338.2,65,4,10,JackLa00
11,Sam LaPorta*,DET,TE,22,17,14,0,0,0,0,0,1,4,4.00,0,120,86,889,10.34,10,0,0,10,2,,153,239.3,242.3,196.3,65,1,11,LaPoSa01
12,Travis Etienne,JAX,RB,24,17,17,0,0,0,0,0,267,1008,3.78,11,73,58,476,8.21,1,0,0,12,2,,224,282.4,288.4,253.4,62,3,12,EtieTr00
13,Kyren Williams*,LAR,RB,23,12,11,0,0,0,0,0,228,1144,5.02,12,48,32,206,6.44,3,3,2,15,1,,223,255.0,263.0,239.0,61,4,13,WillKy02
14,Puka Nacua*,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,0,160,105,1486,14.15,6,1,0,6,,,194,298.5,301.5,246.0,60,5,14,NacuPu00
15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,1,136,96,1364,14.21,8,1,1,9,,,191,286.5,290.5,238.5,58,6,15,MoorD.00
16,Derrick Henry*,TEN,RB,29,17,17,2,3,14,2,0,280,1167,4.17,12,36,28,214,7.64,0,0,0,12,,,219,246.7,252.7,232.7,57,5,16,HenrDe00
17,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,4.02,9,64,52,376,7.23,3,0,0,12,1,,215,267.0,273.0,241.0,54,6,17,MixoJo00
18,Jordan Love,GNB,QB,25,17,17,372,579,4159,32,11,50,247,4.94,4,0,0,0,,0,9,3,4,,2,319,319.1,339.1,330.1,53,5,18,LoveJo03
19,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,4.46,5,95,76,591,7.78,4,2,0,9,1,,215,290.5,296.5,252.5,53,7,19,HallBr03
20,A.J. Brown*,PHI,WR,26,17,17,0,0,0,0,0,0,0,,0,158,106,1456,13.74,7,2,2,7,,,184,289.6,294.6,236.6,51,8,20,BrowAJ00
21,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,6.08,5,89,60,892,14.87,7,1,0,12,,,184,243.7,249.7,213.7,51,7,21,SamuDe00
22,George Kittle*+,SFO,TE,30,16,16,0,0,0,0,0,1,2,2.00,0,90,65,1020,15.69,6,0,0,6,,,138,203.2,206.2,170.7,51,2,22,KittGe00
23,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,7.00,0,109,80,1297,16.21,8,1,0,8,1,,180,260.4,263.4,220.4,48,9,23,CollNi00
24,Rachaad White,TAM,RB,24,17,17,0,0,0,0,0,272,990,3.64,6,70,64,549,8.58,3,3,2,9,,,204,267.9,275.9,235.9,43,8,24,WhitRa01
25,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,,0,105,75,1342,17.89,7,1,1,7,,,174,249.2,253.2,211.7,42,10,25,AiyuBr00
26,Travis Kelce*,KAN,TE,34,15,15,0,0,0,0,0,0,0,,0,121,93,984,10.58,5,1,1,5,,,126,219.4,223.4,172.9,40,3,26,KelcTr00
27,Keenan Allen*,LAC,WR,31,13,13,1,2,49,1,0,2,6,3.00,0,150,108,1243,11.51,7,2,1,7,,,171,278.9,282.9,224.9,39,11,27,AlleKe00
